Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,40.320000,41.849998,39.779999,40.560001,38.167633,3253400
2019-11-18,40.029999,40.209999,38.230000,38.840000,36.549084,1812400
2019-11-19,38.110001,38.639999,37.400002,38.410000,36.144447,1366600
2019-11-20,38.040001,39.310001,37.299999,38.389999,36.125626,2063700
2019-11-21,38.779999,39.270000,38.360001,38.889999,36.596134,2436000
2019-11-22,38.950001,39.490002,38.750000,39.000000,36.699642,2138700
2019-11-25,38.840000,40.060001,38.700001,39.919998,37.565376,2297200
2019-11-26,39.880001,40.060001,37.959999,37.970001,35.730400,9041900
2019-11-27,38.299999,40.570000,38.080002,40.459999,38.073528,2641000
2019-11-29,39.910000,40.060001,38.500000,39.529999,37.198380,1490900
2019-12-02,39.830002,40.419998,39.490002,39.799999,37.452457,1884900
2019-12-03,38.970001,39.400002,38.090000,38.389999,36.125626,2012000
2019-12-04,38.990002,40.110001,38.840000,39.320000,37.000771,1692600
2019-12-05,39.599998,39.910000,38.520000,38.639999,36.360878,1236700
2019-12-06,38.500000,40.880001,38.500000,40.680000,38.280552,1569600
2019-12-09,40.299999,41.220001,40.209999,40.730000,38.327602,1168100
2019-12-10,40.619999,41.220001,40.270000,40.770000,38.365242,1457500
2019-12-11,40.799999,41.799999,40.630001,41.590000,39.136875,1391300
2019-12-12,41.689999,42.990002,41.450001,42.610001,40.096714,1697900
2019-12-13,42.480000,42.959999,41.900002,42.090000,39.607388,1260900
2019-12-16,42.570000,43.209999,42.389999,42.410000,39.908508,1166200
2019-12-17,42.560001,43.259998,42.549999,42.930000,40.397842,1518500
2019-12-18,42.630001,43.500000,42.580002,43.250000,40.698963,1410400
2019-12-19,43.110001,43.790001,43.099998,43.389999,40.830708,1444200
2019-12-20,43.700001,44.220001,43.180000,44.200001,41.592930,2575700
2019-12-23,44.060001,45.509998,44.060001,45.430000,42.750381,1250200
2019-12-24,45.349998,46.160000,44.669998,44.840000,42.195179,638500
2019-12-26,45.060001,45.490002,44.820000,45.169998,42.505714,865000
2019-12-27,45.419998,45.419998,44.340000,44.430000,41.809364,1070100
2019-12-30,44.779999,46.169998,44.779999,45.540001,42.853893,1706200
2019-12-31,44.990002,45.520000,44.240002,45.430000,42.750381,1996300
2020-01-02,45.860001,45.880001,44.360001,45.270000,42.599815,1852400
2020-01-03,46.250000,46.689999,45.080002,45.849998,43.145607,1293400
2020-01-06,46.200001,47.330002,45.990002,47.150002,44.368931,2035100
2020-01-07,46.880001,46.880001,45.529999,46.540001,43.794907,1110800
2020-01-08,46.189999,46.490002,44.790001,45.580002,42.891533,1944700
2020-01-09,45.439999,46.410000,44.730000,46.099998,43.380859,1791100
2020-01-10,45.990002,46.630001,45.160000,46.520000,43.776089,1325200
2020-01-13,46.259998,46.590000,45.689999,46.250000,43.522015,1376500
2020-01-14,45.980000,46.709999,45.790001,46.509998,43.766674,1805300
2020-01-15,45.900002,46.549999,45.590000,46.060001,43.343220,1237200
2020-01-16,46.470001,46.779999,45.130001,45.250000,42.580997,1665000
2020-01-17,45.400002,45.790001,45.080002,45.130001,42.468075,1200700
2020-01-21,44.720001,45.020000,43.919998,43.970001,41.376495,1937600
2020-01-22,43.730000,43.840000,42.830002,42.959999,40.426071,1776700
2020-01-23,42.110001,42.910000,41.599998,42.680000,40.162586,2054900
2020-01-24,42.380001,42.599998,41.939999,42.230000,39.739128,1568000
2020-01-27,41.230000,41.450001,40.270000,40.410000,38.026478,2053600
2020-01-28,40.849998,41.340000,40.410000,40.639999,38.242908,2067600
2020-01-29,41.090000,41.349998,39.560001,39.599998,37.264256,1762500
2020-01-30,39.049999,40.610001,39.000000,40.570000,38.177040,2189900
2020-01-31,40.400002,40.939999,39.279999,40.549999,38.158218,17800700
2020-02-03,40.360001,40.919998,40.049999,40.750000,38.346420,3396400
2020-02-04,42.459999,43.779999,41.400002,41.669998,39.212158,2633200
2020-02-05,42.430000,44.400002,42.430000,43.849998,41.263573,1744900
2020-02-06,43.950001,44.270000,42.970001,43.799999,41.216522,2177300
2020-02-07,41.520000,42.849998,40.950001,42.650002,40.795654,2166800
2020-02-10,42.299999,43.750000,41.869999,43.570000,41.675652,1453100
2020-02-11,44.340000,44.400002,43.720001,44.080002,42.163479,1179000
2020-02-12,45.080002,45.480000,44.430000,45.189999,43.225216,1420200
2020-02-13,45.169998,45.709999,44.570000,45.400002,43.426090,1857400
2020-02-14,45.549999,45.680000,44.680000,45.310001,43.340000,1902200
2020-02-18,44.720001,45.310001,44.150002,45.070000,43.110435,1219500
2020-02-19,45.459999,45.590000,44.689999,45.459999,43.483479,1196000
2020-02-20,45.759998,46.369999,45.119999,45.470001,43.493046,915600
2020-02-21,44.790001,45.020000,43.630001,44.900002,42.947826,1260000
2020-02-24,42.610001,43.040001,41.830002,41.900002,40.078262,1525200
2020-02-25,42.119999,42.270000,39.279999,39.680000,37.954784,1744800
2020-02-26,39.990002,40.369999,38.799999,38.889999,37.199131,1472900
2020-02-27,37.189999,38.470001,35.900002,37.119999,35.506084,2340100
2020-02-28,35.709999,37.400002,35.290001,36.889999,35.286087,3211500
2020-03-02,37.410000,37.639999,35.869999,37.619999,35.984348,2584100
2020-03-03,37.380001,38.029999,34.790001,35.490002,33.946957,2206300
2020-03-04,36.070000,36.869999,34.380001,34.919998,33.401737,2403200
2020-03-05,33.820000,33.950001,31.160000,31.780001,30.398262,2647500
